Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,"BFRP, AUIE, GNDC","BFGP, AUIE, RNDC","AERP, BGCD, FUIN","CNRP, AGDS, EIOT","BNPR, ACDF, EIUG","ANPR, BCDF, EIUG",Class,EAAA,EAMA,arrogance,bs,cad,cadg,chisqr,ec,psma
A2EI9E6EBZEZO1,LettersDice,38,Female,Right,College,"CNRP, AGDS, EIOT",1,10,9,0.0,0.1,0.15,0.25,0.25,0.2,0.05,Non-Solver,0.16111111111111112,-0.15,0.0,0.030185185185185186,-0.43333333333333335,-0.30000000000000004,0.27296913612703083,0.12333333333333335,0.25
APS21FRK7TBKW,LettersDice,47,Female,Right,College,"BNPR, ACDF, EIUG",1,3,4,0.1,0.2,0.2,0.15,0.15,0.15,0.15,Solver,0.11666666666666665,0.2833333333333333,0.0,0.021296296296296296,-0.43333333333333335,-0.653846153846154,0.18739495798319328,-0.1533333333333334,0.15
A2IQ0QCTQ3KWLT,LettersDice,48,Female,Right,High School/GED,"CNRP, AGDS, EIOT",2,9,9,0.35,0.1,0.1,0.1,0.5,0.1,0.1,Non-Solver,0.1777777777777778,-0.4,0.018181818181818184,0.05185185185185186,-0.3333333333333333,-0.20000000000000007,0.3310930735930736,0.37333333333333335,0.5
A2MWAXV1YRK5GH,LettersDice,69,Female,Left,Graduate Degree,"BNPR, ACDF, EIUG",10,2,2,0.95,0.15,0.0,0.0,0.0,0.85,0.0,Solver,0.13888888888888887,-0.4166666666666666,0.10404624277456648,0.03657407407407407,0.4666666666666667,0.2461538461538461,0.233974025974026,0.5466666666666666,0.85
A3HOBJ4PJUOCUN,LettersDice,59,Female,Right,High School/GED,"BNPR, ACDF, EIUG",7,2,1,0.9,0.1,0.1,0.1,0.1,0.5,0.1,Solver,0.06666666666666668,-0.06666666666666665,0.10909090909090907,0.007407407407407408,0.16666666666666666,-0.05384615384615399,0.095974025974026,0.1966666666666666,0.5
A1DS0M9DLHAISJ,LettersDice,38,Female,Right,College,"BFRP, AUIE, GNDC",10,1,7,0.45,0.2,0.25,0.2,0.0,0.2,0.15,Non-Solver,0.13333333333333333,0.06666666666666665,0.32142857142857145,0.023796296296296298,0.4666666666666667,0.5875,0.2513047324192835,0.01833333333333334,0.2
AAASQIW3J32OL,LettersDice,58,Female,Right,College,"BNPR, ACDF, EIUG",8,5,6,0.5,0.1,0.1,0.1,0.1,0.5,0.1,Solver,0.06666666666666668,-0.06666666666666665,0.12727272727272726,0.007407407407407408,0.2666666666666667,0.0461538461538461,0.095974025974026,0.1966666666666666,0.5
yijmma,LettersDice,33,Male,Right,College,"BNPR, ACDF, EIUG",7,2,3,0.65,0.1,0.15,0.15,0.1,0.35,0.15,Solver,0.08333333333333333,0.08333333333333337,0.14457831325301204,0.010740740740740743,0.16666666666666666,-0.05384615384615399,0.13382724909633542,0.04666666666666658,0.35
A1M7G9KKXWH76A,LettersDice,48,Male,Right,College,"BFRP, AUIE, GNDC",3,5,3,0.5,0.6,0.1,0.05,0.15,0.1,0.0,Non-Solver,0.15555555555555556,-0.3333333333333333,0.031250000000000014,0.041018518518518524,-0.2333333333333333,-0.1125,0.2682692307692308,0.4183333333333333,0.6
A2APG8MSLJ6G2K,LettersDice,69,Female,Right,College,"BNPR, ACDF, EIUG",10,8,8,0.75,0.05,0.05,0.05,0.05,0.75,0.05,Solver,0.12222222222222222,-0.31666666666666665,0.11612903225806452,0.026574074074074076,0.4666666666666667,0.2461538461538461,0.16995690249952666,0.4466666666666666,0.75
